Судно,День,Статус,Локация/маршрут,Вылов,Перегрузка,Выгрузка,Загрузка трюма
V1 (Камчатка-1),1,Переход,Петропавловск -> Зона-Запад,0.0,0.0,0.0,0.0
V1 (Камчатка-1),2,Промысел,Зона-Запад,12.0,0.0,0.0,12.0
V1 (Камчатка-1),3,Промысел,Зона-Запад,12.0,0.0,0.0,24.0
V1 (Камчатка-1),4,Промысел,Зона-Запад,12.0,0.0,0.0,36.0
V1 (Камчатка-1),5,Переход,Зона-Запад -> Петропавловск,0.0,0.0,0.0,36.0
V1 (Камчатка-1),6,Порт (отгрузка),Петропавловск,0.0,0.0,36.0,0.0
V1 (Камчатка-1),7,Ремонт,Петропавловск,0.0,0.0,0.0,0.0
V1 (Камчатка-1),8,Ремонт,Петропавловск,0.0,0.0,0.0,0.0
V2 (Процессор-1),1,Переход,Петропавловск -> Зона-Восток,0.0,0.0,0.0,0.0
V2 (Процессор-1),2,Промысел,Зона-Восток,16.0,0.0,0.0,10.4
V2 (Процессор-1),3,Промысел,Зона-Восток,16.0,0.0,0.0,20.8
V2 (Процессор-1),4,Промысел,Зона-Восток,16.0,0.0,0.0,28.0
V2 (Процессор-1),5,Перегрузка,Зона-Восток,0.0,0.0,0.0,0.0
V2 (Процессор-1),6,Переход,Зона-Восток -> Петропавловск,0.0,0.0,0.0,0.0
V2 (Процессор-1),7,Порт (отгрузка),Петропавловск,0.0,0.0,0.0,0.0
V2 (Процессор-1),8,Ремонт,Петропавловск,0.0,0.0,0.0,0.0
V3 (Транспорт-1),1,Порт (отгрузка),Петропавловск,0.0,0.0,0.0,0.0
V3 (Транспорт-1),2,Порт (отгрузка),Петропавловск,0.0,0.0,0.0,0.0
V3 (Транспорт-1),3,Переход,Петропавловск -> Зона-Восток,0.0,0.0,0.0,0.0
V3 (Транспорт-1),4,Перегрузка,Зона-Восток,0.0,0.0,0.0,0.0
V3 (Транспорт-1),5,Перегрузка,Зона-Восток,0.0,28.0,0.0,28.0
V3 (Транспорт-1),6,Переход,Зона-Восток -> Петропавловск,0.0,0.0,0.0,28.0
V3 (Транспорт-1),7,Порт (отгрузка),Петропавловск,0.0,0.0,28.0,0.0
V3 (Транспорт-1),8,Порт (отгрузка),Петропавловск,0.0,0.0,0.0,0.0
